Distance from dealer,Sales Source,Free Shipping Cost,Stock Number,Car Class,Body,Color,Year,Make,Model,Mileage,Age,Trade ACV,Acquisition Cost,RECONDITIONING COST,Total Cost,Sale Price,Front Gross,Financing,warranty,insurance,other_products,Theft,Ultimate,Dent/Ding,Windshield,Tire/Wheel,Roadside,Bank Fees,Back Gross,Total Gross
16.052,AutoTrader,0,4U132883,"Car, Intermediate",4D Sedan,Silver,14,CHEV,IMPA,17753,29,0,19860,263.12,20591.12,20970,503.88,0,0,0,200,125,,,,,,,325,828.88
956.751,eBay,450,1F226951,"Truck, Large Pick-up",4D Crew Cab,Silver,13,CHEV,SILV35,11868,79,0,43500,1334,45302,43864,-1313,0,0,0,0,0,,,,,,,0,-1313
326.537,Autotrader,0,5M371067,"Car, Luxury Sport",2D Roadster,Black,12,NISS,370Z,17988,10,0,27000,1557.79,29025.79,29980,1079.21,0,0,0,,,,,,,,,0,1079.21
16.052,eBay,0,1F200401,"Car, Luxury",4D Sedan,,9,MB,C300W,70181,38,0,16000,1689.3,18157.3,17980,-52.3,215.21,1000,0,200,125,,,,,,,1540.21,1487.91
14.589,eBay,0,3C182710,"Car, Intermediate",4D Sedan,Black,11,NISS,ALTIMA,37734,58,0,11030,1413.56,12911.56,12980,193.44,200,1000,242,200,,,,,,,575,2217,2410.44
21.731,Referral,0,2L001623,"SUV, Intermediate Sport Utility",4D Sport Utility,White,11,HOND,ACCCRS,34691,81,1000,19585,1292.99,21345.99,20490,-730.99,200,750,0,200,,,,,,,,1150,419.01
1124.662,eBay,750,3N013333,"Car, Luxury High",4D Sedan,White,14,AUDI,A630QT,8176,98,0,55595,705.08,56768.08,57789,1145.92,300,0,0,200,125,550,,,,200,,1375,2520.92
1237.676,Cars.com,650,39800973,"Car, Sport",2D Convertible,Black,14,CHEV,CAMAC,3765,96,0,55995,1751.21,58214.21,51990,-6099.21,0,0,0,,,,,,,,,0,-6099.21
862.038,Cargurus,600,90028868,"Car, Luxury Sport",2D Convertible,,2,LEXU,SC430,17849,40,0,18000,3668.6,22136.6,23980,1968.4,0,1000,0,,,,,,,,,1000,2968.4
593.602,eBay,500,3G106830,"Truck, Large Pick-up",4D Crew Cab,Silver,11,CHEV,AVALC,23482,13,0,33875,1144.62,35487.62,33990,-1372.62,0,0,0,,,,,,,,,0,-1372.62
621.549,Cars.com,500,55100012,"Car, Luxury Sport",2D Coupe,White,13,CHEV,CORV,3569,11,0,60459,752.09,61679.09,63980,2425.91,0,0,0,,,,,,,,,0,2425.91
323.852,eBay,250,3S334078,"Truck, Large Pick-up",4D Crew Cab,Red,12,DODG,RAM15,21783,56,0,29325,1204.94,30997.94,29980,-892.94,100,0,0,,,,,,,,,100,-792.94
1671.19,eBay,0,2D003805,"SUV, Luxury Sport Utility",4D Sport Utility,Silver,13,VW,TOUAR,36822,39,17500,39005,589.34,40062.34,39980,42.66,250,0,0,,,,,,,,,250,292.66
23.942,Unknown,0,5R112974,"Car, Intermediate",4D Sedan,Black,13,FORD,FUSN,12912,4,4000,16815,1536.6,18819.6,19118,423.4,536.08,1000,0,200,125,,,,,200,,2061.08,2484.48
